# source: Yahoo Finance v8 chart JSON (^GDAXI, period1=2006-01-01, interval=1d)
# retrieved: 2026-07-15T16:10:00+00:00
# rows: 5210 (gefiltert >= 2006-01-02)
# K_0: nur Daten, keine Anlageentscheidung [CRUX-MK]
Date,Open,High,Low,Close
2018-01-10,13355.2803,13377.8799,13227.5703,13281.3398
2018-01-11,13281.2002,13298.6504,13151.8398,13202.9004
2018-01-12,13241.2803,13265.1396,13168.0098,13245.0303
2018-01-15,13244.3701,13250.3701,13173.7100,13200.5098
2018-01-16,13228.5996,13351.0898,13196.5596,13246.3301
2018-01-17,13200.9199,13251.4404,13137.5098,13183.9600
2018-01-18,13250.2500,13293.2900,13201.3398,13281.4297
2018-01-19,13297.7402,13445.4697,13294.8096,13434.4502
2018-01-22,13435.1396,13470.0498,13410.9600,13463.6904
2018-01-23,13577.1396,13596.8896,13517.8096,13559.5996
2018-01-24,13572.7100,13576.8398,13414.7402,13414.7402
2018-01-25,13374.3799,13443.3604,13222.4697,13298.3604
2018-01-26,13297.5098,13348.6904,13268.3096,13340.1699
2018-01-29,13358.9004,13370.0195,13274.8398,13324.4805
2018-01-30,13223.9697,13309.8604,13171.9102,13197.7100
2018-01-31,13210.7598,13268.4102,13159.3496,13189.4805
2018-02-01,13235.1504,13301.4102,12971.7803,13003.9004
2018-02-02,12954.5898,12954.5898,12782.0703,12785.1602
2018-02-05,12687.7900,12752.5996,12622.4404,12687.4902
2018-02-06,12232.8604,12550.1602,12232.8604,12392.6602
2018-02-07,12478.6797,12651.2803,12414.8398,12590.4297
2018-02-08,12506.1797,12541.3203,12187.4502,12260.2900
2018-02-09,12263.0996,12296.1797,12003.3604,12107.4805
2018-02-12,12238.6299,12379.1602,12222.3398,12282.7695
2018-02-13,12282.7598,12300.6299,12196.2197,12196.5000
2018-02-14,12294.8496,12393.7100,12075.2100,12339.1602
2018-02-15,12425.4502,12479.9697,12275.0400,12346.1699
2018-02-16,12408.4805,12484.1201,12368.7100,12451.9600
2018-02-19,12495.0703,12505.4902,12361.8604,12385.5996
2018-02-20,12403.6299,12496.0996,12333.7900,12487.9004
2018-02-21,12457.2197,12474.3701,12372.2598,12470.4902
2018-02-22,12358.8203,12497.7100,12283.7002,12461.9102
2018-02-23,12491.7695,12513.3203,12431.9404,12483.7900
2018-02-26,12566.0498,12601.4600,12484.5898,12527.0400
2018-02-27,12573.6504,12577.5596,12436.1299,12490.7305
2018-02-28,12427.4600,12516.9199,12417.9600,12435.8496
2018-03-01,12386.4004,12387.8799,12143.1396,12190.9404
2018-03-02,12051.8896,12081.4004,11877.6602,11913.7100
2018-03-05,11831.5703,12110.1797,11830.9805,12090.8701
2018-03-06,12229.2900,12259.5801,12110.3398,12113.8701
2018-03-07,12060.0898,12275.6904,12020.6104,12245.3604
2018-03-08,12237.9404,12382.6904,12177.1201,12355.5703
2018-03-09,12331.6396,12407.9805,12284.5703,12346.6797
2018-03-12,12453.2998,12454.9600,12361.0098,12418.3896
2018-03-13,12425.6904,12459.9004,12162.4697,12221.0303
2018-03-14,12212.4902,12322.8896,12202.7598,12237.7402
2018-03-15,12284.1396,12378.3896,12239.9600,12345.5596
2018-03-16,12345.5596,12454.0195,12337.6201,12389.5801
2018-03-19,12346.5098,12369.7695,12183.7900,12217.0195
2018-03-20,12261.1904,12320.0000,12191.5498,12307.3301
2018-03-21,12336.7598,12344.0898,12250.3701,12309.1504
2018-03-22,12187.7305,12267.1699,12009.5000,12100.0801
2018-03-23,11995.5098,12001.7803,11818.7002,11886.3096
2018-03-26,11919.6396,11984.5000,11726.6201,11787.2598
2018-03-27,11996.3496,12042.7803,11927.9102,11970.8301
